"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-41.8103805129353,12.4143576910772,-3.36790525562079,0.00102466813814137
"age",0.12805709246468,0.101613565380976,1.26023618977014,0.210081660267675
"sexfemale",-3.91897007679867,2.74475773908841,-1.42780181324864,0.156001806171484
"n_ind",4.3615933863614,0.746316958198584,5.84415688059556,4.65209575150983e-08
"mspss_6mo_total",0.134198686576015,0.101769069281016,1.31865887665192,0.189848052786103
"cd_score",0.200599976403775,0.216648491191632,0.925923717725493,0.35638380016415
"eqol_vas",0.550351243663074,0.116398232097036,4.7281752802248,6.35122687851081e-06
"(Intercept)",-6.45113924881736,11.9621109932473,-0.539297725331178,0.590656316680074
"heg",0.000896642224269446,0.0929140575296549,0.00965023214041933,0.992315982877522
"age",0.184732244616648,0.0962550639331422,1.91919507471276,0.0572761983276736
"sexfemale",-6.18296022886424,2.6371667118807,-2.34454659275403,0.0206525685680026
"n_ind",0.649726377375334,0.70824903020773,0.917369949923925,0.36074409143983
"mspss_6mo_total",0.326214286300089,0.0974762850353812,3.34660154704995,0.00108554379458633
"cd_score",0.616935723909795,0.201242990490266,3.06562590034477,0.00267069031777371
"eqol_vas",0.316508875528837,0.102226603123536,3.09614978741248,0.00242847114245885
"(Intercept)",-18.0777884468609,12.8656588101169,-1.40511952894674,0.162526975953057
"heg",0.00471373643155605,0.10122933497061,0.0465649254035364,0.96293612465764
"age",0.175485320549764,0.102875603245359,1.7058011327645,0.0905897523719863
"sexfemale",1.70911566473267,2.83189865004762,0.603522892566769,0.547281355066808
"n_ind",1.08453256370539,0.76750193607157,1.41306817967982,0.160181914385868
"mspss_6mo_total",0.639615947765953,0.104828005162366,6.10157511607,1.27993344949926e-08
"cd_score",0.38564309354612,0.216360443385237,1.78241034965652,0.0771696565362339
"eqol_vas",0.220962463000243,0.110784739945372,1.9945207535731,0.0483245349412742
"(Intercept)",-1.92172556918115,11.6386874096121,-0.165115317694163,0.869124279177624
"heg",0.115189353927276,0.0904019091744609,1.27419160700444,0.204997716140038
"age",0.0677761998178105,0.0936525836737738,0.723698131531531,0.470625201634812
"sexfemale",1.17847020980072,2.56586475614048,0.459287734078918,0.646838230306684
"n_ind",1.33600669683271,0.689099865015625,1.93877080037219,0.0548197758443882
"mspss_6mo_total",0.369760284634012,0.0948407862138611,3.89874756837445,0.000158008298835614
"cd_score",0.559435082733444,0.195801916652832,2.85714814388337,0.00502080073250883
"eqol_vas",0.223917234445958,0.0994626683678951,2.25126912559522,0.0261435861678132
