"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-0.146108966956245,0.146030659117189,-1.00053624245436,0.319081243453298
"heg",0.00175546194462167,0.00105287074917711,1.6673100150172,0.0980824537687531
"age",0.00206020124194868,0.0010816110263052,1.90475244042801,0.0592260029243866
"sexfemale",0.0152641326057954,0.0302476174071323,0.504639172082234,0.614745482045822
"n_ind",0.0407246237515957,0.00907155346285825,4.48926679629182,1.66287221403569e-05
"mspss_6mo_total",0.00116698610674451,0.001117179360661,1.0445825870378,0.29833322526927
"cd_score",0.00182088811411379,0.00228561507183754,0.796673130375307,0.427227462295202
"eqol_vas",0.00345171883870089,0.00115903717392917,2.97809157147174,0.00351567418379383
